id_candidate, no_trial, wrong_yes, level, ans_candidate, good_ans, reaction_time, time_stamp
Koi, 0, 0, 3, a, True, 0.29, 6.4
Koi, 1, 0, 2, a, True, 0.41, 8.05
Koi, 2, 0, 1, a, True, 0.23, 9.58
Koi, 3, 0, 7, a, True, 1.25, 12.39
Koi, 4, 0, 5, a, True, 0.04, 14.07
Koi, 5, 0, 7, a, True, 2.64, 18.19
Koi, 6, 0, 5, a, True, 0.56, 20.04
Koi, 7, 0, 7, a, True, 2.07, 23.77
Koi, 8, 0, 4, a, True, 0.08, 25.38
Koi, 9, 0, 5, a, True, 7.33, 34.2
Koi, 10, 0, 1, a, True, 0.9, 36.62
Koi, 11, 0, 3, a, True, 0.24, 38.34
Koi, 12, 0, 7, a, True, 2.98, 42.88
Koi, 13, 0, 7, a, True, 2.7, 46.87
Koi, 14, 0, 5, a, True, 4.83, 53.21
Koi, 15, 0, 6, a, True, 4.59, 59.29
Koi, 16, 0, 6, a, True, 5.95, 66.81
Koi, 17, 0, 0, a, False, 2.2, 70.49
Koi, 18, 0, 0, a, False, 2.58, 74.63
Koi, 19, 0, 2, a, True, 1.58, 77.52
Koi, 20, 0, 0, a, False, 1.6, 80.57
Koi, 21, 0, 3, a, True, 0.72, 82.75
Koi, 22, 0, 3, a, True, 0.34, 84.57
Koi, 23, 0, 1, a, True, 0.5, 86.57
Koi, 24, 0, 2, a, True, 0.29, 88.13
Koi, 25, 0, 0, a, False, 1.49, 91.03
Koi, 26, 0, 7, a, True, 3.31, 95.78
Koi, 27, 0, 7, a, True, 0.99, 98.48
Koi, 28, 0, 5, a, True, 0.59, 100.32
Koi, 29, 0, 7, a, True, 1.28, 103.17
Koi, 30, 0, 7, a, True, 1.83, 106.34
Koi, 31, 0, 7, a, True, 2.56, 110.39
Koi, 32, 0, 4, a, True, 1.93, 113.72
Koi, 33, 0, 5, a, True, 0.77, 116.13
Koi, 34, 0, 2, a, True, 3.24, 120.92
Koi, 35, 0, 1, a, True, 1.36, 123.58
Koi, 36, 0, 0, a, False, 1.37, 126.17
Koi, 37, 0, 2, a, True, 2.94, 130.74
Koi, 38, 0, 6, a, True, 0.78, 133.11
Koi, 39, 0, 3, a, True, 2.39, 136.98
Koi, 40, 0, 4, a, True, 0.26, 138.64
Koi, 41, 0, 6, a, True, 2.01, 141.97
Koi, 42, 0, 5, a, True, 2.77, 146.27
Koi, 43, 0, 3, a, True, 0.83, 148.54
Koi, 44, 0, 1, a, True, 1.48, 151.52
Koi, 45, 0, 0, a, False, 1.48, 154.26
Koi, 46, 0, 2, a, True, 2.76, 158.59
Koi, 47, 0, 2, a, True, 0.19, 160.24
Koi, 48, 0, 4, a, True, 0.19, 161.69
Koi, 49, 0, 1, a, True, 0.12, 163.03
Koi, 50, 0, 0, a, False, 0.23, 164.78
Koi, 51, 0, 7, a, True, 0.2, 166.0
Koi, 52, 0, 6, a, True, 0.04, 167.07
Koi, 53, 0, 7, a, True, 0.01, 168.1
Koi, 54, 0, 7, a, True, 0.18, 169.3
Koi, 55, 0, 7, a, True, 0.28, 170.61
Koi, 56, 0, 7, a, True, 0.39, 172.03
Koi, 57, 0, 6, a, True, 0.03, 173.09
Koi, 58, 0, 7, a, True, 0.67, 174.78
Koi, 59, 0, 7, a, True, 0.23, 176.03
Koi, 60, 0, 7, a, True, 0.52, 177.57
Koi, 61, 0, 7, a, True, 0.48, 179.07
Koi, 62, 0, 7, a, True, 0.22, 180.31
Koi, 63, 0, 7, a, True, 0.11, 181.45
Koi, 64, 0, 7, a, True, 0.06, 182.53
Koi, 65, 0, 7, a, True, 0.14, 183.69
