id_candidate, no_trial, wrong_yes, level, ans_candidate, good_ans, reaction_time, time_stamp
Tou, 0, 0, 3, a, True, 0.26, 6.17
Tou, 1, 0, 2, a, True, 0.09, 7.5
Tou, 2, 0, 1, a, True, 0.29, 9.09
Tou, 3, 0, 7, a, True, 0.18, 10.86
Tou, 4, 0, 5, a, True, 0.13, 12.6
Tou, 5, 0, 7, a, True, 0.32, 14.4
Tou, 6, 0, 5, a, True, 0.33, 16.02
Tou, 7, 0, 7, a, True, 1.75, 19.43
Tou, 8, 0, 4, a, True, 1.31, 22.27
Tou, 9, 0, 5, a, True, 0.61, 24.37
Tou, 10, 0, 1, a, True, 2.33, 28.22
Tou, 11, 0, 3, a, True, 0.13, 29.84
Tou, 12, 0, 7, a, True, 1.51, 32.92
Tou, 13, 0, 7, a, True, 2.99, 37.2
Tou, 14, 0, 5, a, True, 1.24, 39.95
Tou, 15, 0, 6, a, True, 0.22, 41.65
Tou, 16, 0, 6, a, True, 1.96, 45.17
Tou, 17, 0, 0, a, False, 0.41, 47.06
