id_candidate, no_trial, wrong_yes, level, ans_candidate, good_ans, reaction_time, time_stamp
zzz, 0, 0, 3, a, True, 0.35, 7.14
zzz, 1, 0, 2, a, True, 0.24, 8.63
zzz, 2, 0, 1, a, True, 0.19, 10.12
zzz, 3, 0, 7, a, True, 0.33, 12.05
zzz, 4, 0, 5, a, True, 2.82, 16.49
zzz, 5, 0, 7, a, True, 0.28, 18.26
zzz, 6, 0, 5, a, True, 0.46, 20.0
zzz, 7, 0, 7, a, True, 0.77, 22.42
zzz, 8, 0, 4, a, True, 1.5, 25.45
zzz, 9, 0, 5, a, True, 0.44, 27.37
zzz, 10, 0, 1, a, True, 0.03, 28.92
zzz, 11, 0, 3, a, True, 0.16, 30.58
zzz, 12, 0, 7, a, True, 1.99, 34.14
zzz, 13, 0, 7, a, True, 3.57, 39.01
zzz, 14, 0, 5, a, True, 1.73, 42.25
zzz, 15, 0, 6, a, True, 3.6, 47.34
zzz, 16, 0, 6, a, True, 3.63, 52.54
zzz, 17, 0, 0, a, False, 0.19, 54.22
zzz, 18, 0, 0, a, False, 0.22, 55.99
zzz, 19, 0, 2, a, True, 0.19, 57.49
zzz, 20, 0, 0, a, False, 0.27, 59.21
zzz, 21, 0, 3, a, True, 0.25, 60.92
zzz, 22, 0, 3, a, True, 3.59, 65.98
zzz, 23, 0, 1, a, True, 0.28, 67.78
zzz, 24, 0, 2, a, True, 1.43, 70.48
zzz, 25, 0, 0, a, False, 2.51, 74.4
zzz, 26, 0, 7, a, True, 1.83, 77.68
zzz, 27, 0, 7, a, True, 0.97, 80.37
zzz, 28, 0, 5, a, True, 0.53, 82.15
zzz, 29, 0, 7, a, True, 0.72, 84.44
zzz, 30, 0, 7, a, True, 2.26, 88.05
zzz, 31, 0, 7, a, True, 0.43, 89.96
zzz, 32, 0, 4, a, True, 0.08, 91.44
zzz, 33, 0, 5, a, True, 0.25, 93.34
zzz, 34, 0, 2, a, True, 0.22, 95.1
zzz, 35, 0, 1, a, True, 2.68, 99.07
zzz, 36, 0, 0, a, False, 0.3, 100.59
zzz, 37, 0, 2, a, True, 0.27, 102.5
zzz, 38, 0, 6, a, True, 0.23, 104.3
zzz, 39, 0, 3, a, True, 0.44, 106.22
zzz, 40, 0, 4, p, True, 0.68, 108.3
zzz, 40, 0, 3, p, True, 0.87, 110.57
zzz, 40, 0, 2, p, True, 1.68, 113.65
zzz, 40, 0, 1, a, True, 0.38, 115.43
zzz, 41, 0, 6, a, True, 0.23, 116.97
zzz, 42, 0, 5, a, True, 0.39, 118.89
zzz, 43, 0, 3, a, True, 0.31, 120.64
zzz, 44, 0, 1, a, True, 0.23, 122.37
